# W[k] = exp(-j*2*pi*k/256)
# k, Re(W[k]), Im(W[k])
  0, +1.000000000000000, +0.000000000000000
  1, +0.999698818696204, -0.024541228522912
  2, +0.998795456205172, -0.049067674327418
  3, +0.997290456678690, -0.073564563599667
  4, +0.995184726672197, -0.098017140329561
  5, +0.992479534598710, -0.122410675199216
  6, +0.989176509964781, -0.146730474455362
  7, +0.985277642388941, -0.170961888760301
  8, +0.980785280403230, -0.195090322016128
  9, +0.975702130038529, -0.219101240156870
 10, +0.970031253194544, -0.242980179903264
 11, +0.963776065795440, -0.266712757474898
 12, +0.956940335732209, -0.290284677254462
 13, +0.949528180593037, -0.313681740398892
 14, +0.941544065183021, -0.336889853392220
 15, +0.932992798834739, -0.359895036534988
 16, +0.923879532511287, -0.382683432365090
 17, +0.914209755703531, -0.405241314004990
 18, +0.903989293123443, -0.427555093430282
 19, +0.893224301195515, -0.449611329654607
 20, +0.881921264348355, -0.471396736825998
 21, +0.870086991108711, -0.492898192229784
 22, +0.857728610000272, -0.514102744193222
 23, +0.844853565249707, -0.534997619887097
 24, +0.831469612302545, -0.555570233019602
 25, +0.817584813151584, -0.575808191417845
 26, +0.803207531480645, -0.595699304492433
 27, +0.788346427626606, -0.615231590580627
 28, +0.773010453362737, -0.634393284163645
 29, +0.757208846506485, -0.653172842953777
 30, +0.740951125354959, -0.671558954847018
 31, +0.724247082951467, -0.689540544737067
 32, +0.707106781186548, -0.707106781186548
 33, +0.689540544737067, -0.724247082951467
 34, +0.671558954847018, -0.740951125354959
 35, +0.653172842953777, -0.757208846506485
 36, +0.634393284163645, -0.773010453362737
 37, +0.615231590580627, -0.788346427626606
 38, +0.595699304492433, -0.803207531480645
 39, +0.575808191417845, -0.817584813151584
 40, +0.555570233019602, -0.831469612302545
 41, +0.534997619887097, -0.844853565249707
 42, +0.514102744193222, -0.857728610000272
 43, +0.492898192229784, -0.870086991108711
 44, +0.471396736825998, -0.881921264348355
 45, +0.449611329654607, -0.893224301195515
 46, +0.427555093430282, -0.903989293123443
 47, +0.405241314004990, -0.914209755703531
 48, +0.382683432365090, -0.923879532511287
 49, +0.359895036534988, -0.932992798834739
 50, +0.336889853392220, -0.941544065183021
