# 256-point radix-2 DIT FFT twiddle schedule
# Fields: stage, local_bfly, top_idx, bottom_idx, twiddle_idx

## Stage 0  (m=2, half=1, stride=128)
00, 000, 000, 001, 000
00, 001, 002, 003, 000
00, 002, 004, 005, 000
00, 003, 006, 007, 000
00, 004, 008, 009, 000
00, 005, 010, 011, 000
00, 006, 012, 013, 000
00, 007, 014, 015, 000
00, 008, 016, 017, 000
00, 009, 018, 019, 000
00, 010, 020, 021, 000
00, 011, 022, 023, 000
00, 012, 024, 025, 000
00, 013, 026, 027, 000
00, 014, 028, 029, 000
00, 015, 030, 031, 000
00, 016, 032, 033, 000
00, 017, 034, 035, 000
00, 018, 036, 037, 000
00, 019, 038, 039, 000
00, 020, 040, 041, 000
00, 021, 042, 043, 000
00, 022, 044, 045, 000
00, 023, 046, 047, 000
00, 024, 048, 049, 000
00, 025, 050, 051, 000
00, 026, 052, 053, 000
00, 027, 054, 055, 000
00, 028, 056, 057, 000
00, 029, 058, 059, 000
00, 030, 060, 061, 000
00, 031, 062, 063, 000
00, 032, 064, 065, 000
00, 033, 066, 067, 000
00, 034, 068, 069, 000
00, 035, 070, 071, 000
00, 036, 072, 073, 000
00, 037, 074, 075, 000
00, 038, 076, 077, 000
00, 039, 078, 079, 000
00, 040, 080, 081, 000
00, 041, 082, 083, 000
00, 042, 084, 085, 000
00, 043, 086, 087, 000
00, 044, 088, 089, 000
00, 045, 090, 091, 000
00, 046, 092, 093, 000
00, 047, 094, 095, 000
00, 048, 096, 097, 000
00, 049, 098, 099, 000
00, 050, 100, 101, 000
00, 051, 102, 103, 000
00, 052, 104, 105, 000
00, 053, 106, 107, 000
00, 054, 108, 109, 000
00, 055, 110, 111, 000
00, 056, 112, 113, 000
00, 057, 114, 115, 000
00, 058, 116, 117, 000
00, 059, 118, 119, 000
00, 060, 120, 121, 000
00, 061, 122, 123, 000
00, 062, 124, 125, 000
00, 063, 126, 127, 000
00, 064, 128, 129, 000
00, 065, 130, 131, 000
00, 066, 132, 133, 000
00, 067, 134, 135, 000
00, 068, 136, 137, 000
00, 069, 138, 139, 000
00, 070, 140, 141, 000
00, 071, 142, 143, 000
00, 072, 144, 145, 000
00, 073, 146, 147, 000
00, 074, 148, 149, 000
00, 075, 150, 151, 000
00, 076, 152, 153, 000
00, 077, 154, 155, 000
00, 078, 156, 157, 000
00, 079, 158, 159, 000
00, 080, 160, 161, 000
00, 081, 162, 163, 000
00, 082, 164, 165, 000
00, 083, 166, 167, 000
00, 084, 168, 169, 000
00, 085, 170, 171, 000
00, 086, 172, 173, 000
00, 087, 174, 175, 000
00, 088, 176, 177, 000
00, 089, 178, 179, 000
00, 090, 180, 181, 000
00, 091, 182, 183, 000
00, 092, 184, 185, 000
00, 093, 186, 187, 000
00, 094, 188, 189, 000
00, 095, 190, 191, 000
00, 096, 192, 193, 000
00, 097, 194, 195, 000
00, 098, 196, 197, 000
00, 099, 198, 199, 000
00, 100, 200, 201, 000
00, 101, 202, 203, 000
00, 102, 204, 205, 000
00, 103, 206, 207, 000
00, 104, 208, 209, 000
00, 105, 210, 211, 000
00, 106, 212, 213, 000
00, 107, 214, 215, 000
00, 108, 216, 217, 000
00, 109, 218, 219, 000
00, 110, 220, 221, 000
00, 111, 222, 223, 000
00, 112, 224, 225, 000
00, 113, 226, 227, 000
00, 114, 228, 229, 000
00, 115, 230, 231, 000
00, 116, 232, 233, 000
00, 117, 234, 235, 000
00, 118, 236, 237, 000
00, 119, 238, 239, 000
00, 120, 240, 241, 000
00, 121, 242, 243, 000
00, 122, 244, 245, 000
00, 123, 246, 247, 000
00, 124, 248, 249, 000
00, 125, 250, 251, 000
00, 126, 252, 253, 000
00, 127, 254, 255, 000

## Stage 1  (m=4, half=2, stride=64)
01, 000, 000, 002, 000
01, 001, 001, 003, 064
01, 002, 004, 006, 000
01, 003, 005, 007, 064
01, 004, 008, 010, 000
01, 005, 009, 011, 064
01, 006, 012, 014, 000
01, 007, 013, 015, 064
01, 008, 016, 018, 000
01, 009, 017, 019, 064
01, 010, 020, 022, 000
01, 011, 021, 023, 064
01, 012, 024, 026, 000
01, 013, 025, 027, 064
01, 014, 028, 030, 000
01, 015, 029, 031, 064
01, 016, 032, 034, 000
01, 017, 033, 035, 064
01, 018, 036, 038, 000
01, 019, 037, 039, 064
01, 020, 040, 042, 000
01, 021, 041, 043, 064
01, 022, 044, 046, 000
01, 023, 045, 047, 064
01, 024, 048, 050, 000
01, 025, 049, 051, 064
01, 026, 052, 054, 000
01, 027, 053, 055, 064
01, 028, 056, 058, 000
01, 029, 057, 059, 064
01, 030, 060, 062, 000
01, 031, 061, 063, 064
01, 032, 064, 066, 000
01, 033, 065, 067, 064
01, 034, 068, 070, 000
01, 035, 069, 071, 064
01, 036, 072, 074, 000
01, 037, 073, 075, 064
01, 038, 076, 078, 000
01, 039, 077, 079, 064
01, 040, 080, 082, 000
01, 041, 081, 083, 064
01, 042, 084, 086, 000
01, 043, 085, 087, 064
01, 044, 088, 090, 000
01, 045, 089, 091, 064
01, 046, 092, 094, 000
01, 047, 093, 095, 064
01, 048, 096, 098, 000
01, 049, 097, 099, 064
01, 050, 100, 102, 000
01, 051, 101, 103, 064
01, 052, 104, 106, 000
01, 053, 105, 107, 064
01, 054, 108, 110, 000
01, 055, 109, 111, 064
01, 056, 112, 114, 000
01, 057, 113, 115, 064
01, 058, 116, 118, 000
01, 059, 117, 119, 064
01, 060, 120, 122, 000
01, 061, 121, 123, 064
01, 062, 124, 126, 000
01, 063, 125, 127, 064
01, 064, 128, 130, 000
01, 065, 129, 131, 064
01, 066, 132, 134, 000
01, 067, 133, 135, 064
01, 068, 136, 138, 000
01, 069, 137, 139, 064
01, 070, 140, 142, 000
01, 071, 141, 143, 064
01, 072, 144, 146, 000
01, 073, 145, 147, 064
01, 074, 148, 150, 000
01, 075, 149, 151, 064
01, 076, 152, 154, 000
01, 077, 153, 155, 064
01, 078, 156, 158, 000
01, 079, 157, 159, 064
01, 080, 160, 162, 000
01, 081, 161, 163, 064
01, 082, 164, 166, 000
01, 083, 165, 167, 064
01, 084, 168, 170, 000
01, 085, 169, 171, 064
01, 086, 172, 174, 000
01, 087, 173, 175, 064
01, 088, 176, 178, 000
01, 089, 177, 179, 064
01, 090, 180, 182, 000
01, 091, 181, 183, 064
01, 092, 184, 186, 000
01, 093, 185, 187, 064
01, 094, 188, 190, 000
01, 095, 189, 191, 064
01, 096, 192, 194, 000
01, 097, 193, 195, 064
01, 098, 196, 198, 000
01, 099, 197, 199, 064
01, 100, 200, 202, 000
01, 101, 201, 203, 064
01, 102, 204, 206, 000
01, 103, 205, 207, 064
01, 104, 208, 210, 000
01, 105, 209, 211, 064
01, 106, 212, 214, 000
01, 107, 213, 215, 064
01, 108, 216, 218, 000
01, 109, 217, 219, 064
01, 110, 220, 222, 000
01, 111, 221, 223, 064
01, 112, 224, 226, 000
01, 113, 225, 227, 064
01, 114, 228, 230, 000
01, 115, 229, 231, 064
01, 116, 232, 234, 000
01, 117, 233, 235, 064
01, 118, 236, 238, 000
01, 119, 237, 239, 064
01, 120, 240, 242, 000
01, 121, 241, 243, 064
01, 122, 244, 246, 000
01, 123, 245, 247, 064
01, 124, 248, 250, 000
01, 125, 249, 251, 064
01, 126, 252, 254, 000
01, 127, 253, 255, 064

## Stage 2  (m=8, half=4, stride=32)
02, 000, 000, 004, 000
02, 001, 001, 005, 032
02, 002, 002, 006, 064
02, 003, 003, 007, 096
02, 004, 008, 012, 000
02, 005, 009, 013, 032
02, 006, 010, 014, 064
02, 007, 011, 015, 096
02, 008, 016, 020, 000
02, 009, 017, 021, 032
02, 010, 018, 022, 064
02, 011, 019, 023, 096
02, 012, 024, 028, 000
02, 013, 025, 029, 032
02, 014, 026, 030, 064
02, 015, 027, 031, 096
02, 016, 032, 036, 000
02, 017, 033, 037, 032
02, 018, 034, 038, 064
02, 019, 035, 039, 096
02, 020, 040, 044, 000
02, 021, 041, 045, 032
02, 022, 042, 046, 064
02, 023, 043, 047, 096
02, 024, 048, 052, 000
02, 025, 049, 053, 032
02, 026, 050, 054, 064
02, 027, 051, 055, 096
02, 028, 056, 060, 000
02, 029, 057, 061, 032
02, 030, 058, 062, 064
02, 031, 059, 063, 096
02, 032, 064, 068, 000
02, 033, 065, 069, 032
02, 034, 066, 070, 064
02, 035, 067, 071, 096
02, 036, 072, 076, 000
02, 037, 073, 077, 032
02, 038, 074, 078, 064
02, 039, 075, 079, 096
02, 040, 080, 084, 000
02, 041, 081, 085, 032
02, 042, 082, 086, 064
02, 043, 083, 087, 096
02, 044, 088, 092, 000
02, 045, 089, 093, 032
02, 046, 090, 094, 064
02, 047, 091, 095, 096
02, 048, 096, 100, 000
02, 049, 097, 101, 032
02, 050, 098, 102, 064
02, 051, 099, 103, 096
02, 052, 104, 108, 000
02, 053, 105, 109, 032
02, 054, 106, 110, 064
02, 055, 107, 111, 096
02, 056, 112, 116, 000
02, 057, 113, 117, 032
02, 058, 114, 118, 064
02, 059, 115, 119, 096
02, 060, 120, 124, 000
02, 061, 121, 125, 032
02, 062, 122, 126, 064
02, 063, 123, 127, 096
02, 064, 128, 132, 000
02, 065, 129, 133, 032
02, 066, 130, 134, 064
02, 067, 131, 135, 096
02, 068, 136, 140, 000
02, 069, 137, 141, 032
02, 070, 138, 142, 064
02, 071, 139, 143, 096
02, 072, 144, 148, 000
02, 073, 145, 149, 032
02, 074, 146, 150, 064
02, 075, 147, 151, 096
02, 076, 152, 156, 000
02, 077, 153, 157, 032
02, 078, 154, 158, 064
02, 079, 155, 159, 096
02, 080, 160, 164, 000
02, 081, 161, 165, 032
02, 082, 162, 166, 064
02, 083, 163, 167, 096
02, 084, 168, 172, 000
02, 085, 169, 173, 032
02, 086, 170, 174, 064
02, 087, 171, 175, 096
02, 088, 176, 180, 000
02, 089, 177, 181, 032
02, 090, 178, 182, 064
02, 091, 179, 183, 096
02, 092, 184, 188, 000
02, 093, 185, 189, 032
02, 094, 186, 190, 064
02, 095, 187, 191, 096
02, 096, 192, 196, 000
02, 097, 193, 197, 032
02, 098, 194, 198, 064
02, 099, 195, 199, 096
02, 100, 200, 204, 000
02, 101, 201, 205, 032
02, 102, 202, 206, 064
02, 103, 203, 207, 096
02, 104, 208, 212, 000
02, 105, 209, 213, 032
02, 106, 210, 214, 064
02, 107, 211, 215, 096
02, 108, 216, 220, 000
02, 109, 217, 221, 032
02, 110, 218, 222, 064
02, 111, 219, 223, 096
02, 112, 224, 228, 000
02, 113, 225, 229, 032
02, 114, 226, 230, 064
02, 115, 227, 231, 096
02, 116, 232, 236, 000
02, 117, 233, 237, 032
02, 118, 234, 238, 064
02, 119, 235, 239, 096
02, 120, 240, 244, 000
02, 121, 241, 245, 032
02, 122, 242, 246, 064
02, 123, 243, 247, 096
02, 124, 248, 252, 000
02, 125, 249, 253, 032
02, 126, 250, 254, 064
02, 127, 251, 255, 096

## Stage 3  (m=16, half=8, stride=16)
03, 000, 000, 008, 000
03, 001, 001, 009, 016
03, 002, 002, 010, 032
03, 003, 003, 011, 048
03, 004, 004, 012, 064
03, 005, 005, 013, 080
03, 006, 006, 014, 096
03, 007, 007, 015, 112
03, 008, 016, 024, 000
03, 009, 017, 025, 016
03, 010, 018, 026, 032
03, 011, 019, 027, 048
03, 012, 020, 028, 064
03, 013, 021, 029, 080
03, 014, 022, 030, 096
03, 015, 023, 031, 112
03, 016, 032, 040, 000
03, 017, 033, 041, 016
03, 018, 034, 042, 032
03, 019, 035, 043, 048
03, 020, 036, 044, 064
03, 021, 037, 045, 080
03, 022, 038, 046, 096
03, 023, 039, 047, 112
03, 024, 048, 056, 000
03, 025, 049, 057, 016
03, 026, 050, 058, 032
03, 027, 051, 059, 048
03, 028, 052, 060, 064
03, 029, 053, 061, 080
03, 030, 054, 062, 096
03, 031, 055, 063, 112
03, 032, 064, 072, 000
03, 033, 065, 073, 016
03, 034, 066, 074, 032
03, 035, 067, 075, 048
03, 036, 068, 076, 064
03, 037, 069, 077, 080
03, 038, 070, 078, 096
03, 039, 071, 079, 112
03, 040, 080, 088, 000
03, 041, 081, 089, 016
03, 042, 082, 090, 032
03, 043, 083, 091, 048
03, 044, 084, 092, 064
03, 045, 085, 093, 080
03, 046, 086, 094, 096
03, 047, 087, 095, 112
03, 048, 096, 104, 000
03, 049, 097, 105, 016
03, 050, 098, 106, 032
03, 051, 099, 107, 048
03, 052, 100, 108, 064
03, 053, 101, 109, 080
03, 054, 102, 110, 096
03, 055, 103, 111, 112
03, 056, 112, 120, 000
03, 057, 113, 121, 016
03, 058, 114, 122, 032
03, 059, 115, 123, 048
03, 060, 116, 124, 064
03, 061, 117, 125, 080
03, 062, 118, 126, 096
03, 063, 119, 127, 112
03, 064, 128, 136, 000
03, 065, 129, 137, 016
03, 066, 130, 138, 032
03, 067, 131, 139, 048
03, 068, 132, 140, 064
03, 069, 133, 141, 080
03, 070, 134, 142, 096
03, 071, 135, 143, 112
03, 072, 144, 152, 000
03, 073, 145, 153, 016
03, 074, 146, 154, 032
03, 075, 147, 155, 048
03, 076, 148, 156, 064
03, 077, 149, 157, 080
03, 078, 150, 158, 096
03, 079, 151, 159, 112
03, 080, 160, 168, 000
03, 081, 161, 169, 016
03, 082, 162, 170, 032
03, 083, 163, 171, 048
03, 084, 164, 172, 064
03, 085, 165, 173, 080
03, 086, 166, 174, 096
03, 087, 167, 175, 112
03, 088, 176, 184, 000
03, 089, 177, 185, 016
03, 090, 178, 186, 032
03, 091, 179, 187, 048
03, 092, 180, 188, 064
03, 093, 181, 189, 080
03, 094, 182, 190, 096
03, 095, 183, 191, 112
03, 096, 192, 200, 000
03, 097, 193, 201, 016
03, 098, 194, 202, 032
03, 099, 195, 203, 048
03, 100, 196, 204, 064
03, 101, 197, 205, 080
03, 102, 198, 206, 096
03, 103, 199, 207, 112
03, 104, 208, 216, 000
03, 105, 209, 217, 016
03, 106, 210, 218, 032
03, 107, 211, 219, 048
03, 108, 212, 220, 064
03, 109, 213, 221, 080
03, 110, 214, 222, 096
03, 111, 215, 223, 112
03, 112, 224, 232, 000
03, 113, 225, 233, 016
03, 114, 226, 234, 032
03, 115, 227, 235, 048
03, 116, 228, 236, 064
03, 117, 229, 237, 080
03, 118, 230, 238, 096
03, 119, 231, 239, 112
03, 120, 240, 248, 000
03, 121, 241, 249, 016
