# Radix-2 DIT FFT twiddle schedule
# Fields: stage, order_in_stage, top_idx, bot_idx, twiddle_idx

## Stage 0  (diff=128, group_size=256, num_groups=1)
00, 000, 000, 128, 000
00, 001, 001, 129, 000
00, 002, 002, 130, 000
00, 003, 003, 131, 000
00, 004, 004, 132, 000
00, 005, 005, 133, 000
00, 006, 006, 134, 000
00, 007, 007, 135, 000
00, 008, 008, 136, 000
00, 009, 009, 137, 000
00, 010, 010, 138, 000
00, 011, 011, 139, 000
00, 012, 012, 140, 000
00, 013, 013, 141, 000
00, 014, 014, 142, 000
00, 015, 015, 143, 000
00, 016, 016, 144, 000
00, 017, 017, 145, 000
00, 018, 018, 146, 000
00, 019, 019, 147, 000
00, 020, 020, 148, 000
00, 021, 021, 149, 000
00, 022, 022, 150, 000
00, 023, 023, 151, 000
00, 024, 024, 152, 000
00, 025, 025, 153, 000
00, 026, 026, 154, 000
00, 027, 027, 155, 000
00, 028, 028, 156, 000
00, 029, 029, 157, 000
00, 030, 030, 158, 000
00, 031, 031, 159, 000
00, 032, 032, 160, 000
00, 033, 033, 161, 000
00, 034, 034, 162, 000
00, 035, 035, 163, 000
00, 036, 036, 164, 000
00, 037, 037, 165, 000
00, 038, 038, 166, 000
00, 039, 039, 167, 000
00, 040, 040, 168, 000
00, 041, 041, 169, 000
00, 042, 042, 170, 000
00, 043, 043, 171, 000
00, 044, 044, 172, 000
00, 045, 045, 173, 000
00, 046, 046, 174, 000
00, 047, 047, 175, 000
00, 048, 048, 176, 000
00, 049, 049, 177, 000
00, 050, 050, 178, 000
00, 051, 051, 179, 000
00, 052, 052, 180, 000
00, 053, 053, 181, 000
00, 054, 054, 182, 000
00, 055, 055, 183, 000
00, 056, 056, 184, 000
00, 057, 057, 185, 000
00, 058, 058, 186, 000
00, 059, 059, 187, 000
00, 060, 060, 188, 000
00, 061, 061, 189, 000
00, 062, 062, 190, 000
00, 063, 063, 191, 000
00, 064, 064, 192, 000
00, 065, 065, 193, 000
00, 066, 066, 194, 000
00, 067, 067, 195, 000
00, 068, 068, 196, 000
00, 069, 069, 197, 000
00, 070, 070, 198, 000
00, 071, 071, 199, 000
00, 072, 072, 200, 000
00, 073, 073, 201, 000
00, 074, 074, 202, 000
00, 075, 075, 203, 000
00, 076, 076, 204, 000
00, 077, 077, 205, 000
00, 078, 078, 206, 000
00, 079, 079, 207, 000
00, 080, 080, 208, 000
00, 081, 081, 209, 000
00, 082, 082, 210, 000
00, 083, 083, 211, 000
00, 084, 084, 212, 000
00, 085, 085, 213, 000
00, 086, 086, 214, 000
00, 087, 087, 215, 000
00, 088, 088, 216, 000
00, 089, 089, 217, 000
00, 090, 090, 218, 000
00, 091, 091, 219, 000
00, 092, 092, 220, 000
00, 093, 093, 221, 000
00, 094, 094, 222, 000
00, 095, 095, 223, 000
00, 096, 096, 224, 000
00, 097, 097, 225, 000
00, 098, 098, 226, 000
00, 099, 099, 227, 000
00, 100, 100, 228, 000
00, 101, 101, 229, 000
00, 102, 102, 230, 000
00, 103, 103, 231, 000
00, 104, 104, 232, 000
00, 105, 105, 233, 000
00, 106, 106, 234, 000
00, 107, 107, 235, 000
00, 108, 108, 236, 000
00, 109, 109, 237, 000
00, 110, 110, 238, 000
00, 111, 111, 239, 000
00, 112, 112, 240, 000
00, 113, 113, 241, 000
00, 114, 114, 242, 000
00, 115, 115, 243, 000
00, 116, 116, 244, 000
00, 117, 117, 245, 000
00, 118, 118, 246, 000
00, 119, 119, 247, 000
00, 120, 120, 248, 000
00, 121, 121, 249, 000
00, 122, 122, 250, 000
00, 123, 123, 251, 000
00, 124, 124, 252, 000
00, 125, 125, 253, 000
00, 126, 126, 254, 000
00, 127, 127, 255, 000

## Stage 1  (diff=64, group_size=128, num_groups=2)
01, 000, 000, 064, 000
01, 001, 001, 065, 000
01, 002, 002, 066, 000
01, 003, 003, 067, 000
01, 004, 004, 068, 000
01, 005, 005, 069, 000
01, 006, 006, 070, 000
01, 007, 007, 071, 000
01, 008, 008, 072, 000
01, 009, 009, 073, 000
01, 010, 010, 074, 000
01, 011, 011, 075, 000
01, 012, 012, 076, 000
01, 013, 013, 077, 000
01, 014, 014, 078, 000
01, 015, 015, 079, 000
01, 016, 016, 080, 000
01, 017, 017, 081, 000
01, 018, 018, 082, 000
01, 019, 019, 083, 000
01, 020, 020, 084, 000
01, 021, 021, 085, 000
01, 022, 022, 086, 000
01, 023, 023, 087, 000
01, 024, 024, 088, 000
01, 025, 025, 089, 000
01, 026, 026, 090, 000
01, 027, 027, 091, 000
01, 028, 028, 092, 000
01, 029, 029, 093, 000
01, 030, 030, 094, 000
01, 031, 031, 095, 000
01, 032, 032, 096, 000
01, 033, 033, 097, 000
01, 034, 034, 098, 000
01, 035, 035, 099, 000
01, 036, 036, 100, 000
01, 037, 037, 101, 000
01, 038, 038, 102, 000
01, 039, 039, 103, 000
01, 040, 040, 104, 000
01, 041, 041, 105, 000
01, 042, 042, 106, 000
01, 043, 043, 107, 000
