F7C7 FB2E
FE57 FC2D
0005 050A
00D0 F803
F764 F8CB
03E1 FE28
013F FCB5
FA82 FF94
066F FCEF
FCCC FD38
0108 0249
FE13 FE44
0262 05BB
0AB4 01B4
04A3 0A23
0193 FFF7
FFA1 02A8
FED6 FF36
0229 0932
03E4 FD15
FB80 FD70
0013 FE35
028D 01AE
F9A5 0126
0235 03F3
FED9 01AA
033F 0296
0757 01D2
FD11 FB49
F82B FEB5
FF5C 057D
0657 03FC
F6E3 042A
FE83 0A46
0181 01CD
FAC3 FA1B
009A 028E
010A 05EA
0271 FF2E
FBBB 0022
028D FF3F
FB96 FD90
0325 FE6D
FBB7 010B
FEEC FD43
00CA 0659
F9E9 FD85
04BB 02B9
006F 0502
027B 00C5
08FB 0526
07AB 0785
0207 030C
FD07 F885
04EE FCA3
FC37 006D
0025 F9B1
FC26 FD59
FD55 007A
FDCF 0357
FF4A FF21
0B9E 058F
0714 00EA
FE5A 05AC
F861 037D
F8D1 FCA9
FF30 002A
F9C9 00E8
FE3F 05BE
FB23 00AF
0543 FFC8
04CC 075E
F887 0807
F7D3 FECF
FE50 FB22
FE36 FD68
FEEF 0529
FD58 0746
FF37 03BB
FB39 FCF0
01F6 01C5
0277 02BF
FC51 F9E1
FFF0 0305
FDBD FFF9
FC2D 0558
07DC 0070
0550 F92E
01EE 024E
FAB2 FFF7
0745 0184
060C FECD
0285 03C4
FAA1 FD1A
FF71 00C1
FEFD 005D
FF55 FF7B
0326 FF1D
FDB9 FF74
FF18 FE10
FD23 04F4
F9C3 0589
0684 04FC
F6E8 FF97
FE18 FFA2
0323 F753
FC12 010D
F9AF F771
084E F8EB
014D FC01
F82E FAD3
0581 F80F
FC46 0C40
FC37 FB21
FA8C 038A
02ED FDF0
FC46 012F
01A9 F5B2
0778 F831
FAD0 00C0
FA61 FF61
FDD6 06C7
FA61 0256
011D FF5C
FFC6 00F0
FD3F FB6E
015C FDA1
00BA 0A0D
06D9 FE14
056C FD35
00DD FDC8
FE44 01F5
F5A1 F53C
016D FFFF
0281 FAF1
FF56 05F2
0289 01BE
FAE3 0181
FDF2 0500
FE5E FFD7
0427 F95B
05AA 0237
FC91 FC44
FD7F 00CC
0559 029B
06C7 0227
FF00 FA88
027F 0265
FE93 FD21
0605 FF17
008E 0792
0304 FF2F
FBAB FDEB
FE5A 0106
0432 0595
029B 00A7
00D5 027C
016B 03B3
06BF 0589
FAF0 FE69
0578 FF5E
04E1 0642
F2CD 0C87
FB48 02C2
0117 FF6D
0568 F94C
04D8 FFC6
0599 04C1
0310 03FB
08BD FF9E
02EF 0347
05E2 027B
0420 0169
0783 0312
FD5A 067A
031C FAE2
03A7 F8C8
FF8F 0865
FF42 FF70
FF30 FD7E
FE1D FEB4
FFDF FEE6
FCA4 FD8B
FDC1 FF4B
FC11 02C8
FDDF 0062
0345 04FD
F964 F5A5
0527 FD8A
0164 0886
FEF8 F93C
F8A3 FFFA
FE1A FEA7
FFD1 FA58
FD1D FC77
002E FE35
FF98 0447
07C5 0194
064C F8B7
02CA 027B
FD04 FA90
0479 01C0
0015 0219
0CC9 0181
FBFE FF55
F84F F235
F937 FE4B
FDFE 02D5
03CD FB51
FB6E F5D5
FE86 FCAF
0B42 F556
0761 04C7
F68D 0307
011F 08CD
FE96 FCDA
0144 FF01
04A7 FE56
06DC 0378
FE46 FDFF
0571 F8FC
FE21 00F0
FF4B 0239
0A7C 00EE
FF05 FD17
022C 003E
FC4C FEE6
F686 FCBA
0195 0084
FE93 0019
0362 01D6
02CB FAB2
06E7 05FD
FDC8 F7B6
FD2F 07FD
0627 06F1
030D FEE5
FE74 0287
0087 0828
FFDC F99E
FA58 0417
F9D0 FD59
01FB 0335
F37F FE5C
FFEA 08B3
0525 05C4
F854 FC9A
0275 FDBF
FB87 02AE
04B6 FF42
041C 004A
F7D9 03E8
0BDF FD89
FCF9 FD84
005A 026E
FFDC 006C
